Zeitung;RP;Tagesspiegel;Welt;Spiegel;Zeit
;;;"Nikola H. : Sie sprechen einen ganz wichtigen Aspekt an, der in den ganzen moralinsauren Diskussionen der ""Sich-verletzt-Fühlenden"" komplett fehlt: Dass sie mit ihrer ""gerechten"" Sprache den Spracharbeitern, seien es Journalisten, Schriftsteller, ja selbst Menschen, die wissenschaftliche Arbeiten verfassen, einfach dreist den Werkzeugkasten ausräumen. Und dann nicht mal verstehen, dass man sich als Betroffener darüber beschwert, dass man keinen Nagel mehr einschlagen kann, weil der Hammer fehlt. ";Yo8WvZhY5TcXbVki8HBHjm : Geschlechterneutral situationsbedingt ja, aber nicht mit Rechenoperatoren mitten im Wort. Das verunstaltet die deutsche Sprache. Sondern durch gebührliche Aufzählung, z. B.: Schülerinnen und Schüler. Soviel Zeit muss sein, wenn man zwar genderneutral, aber dann zum Ausgleich nicht wieder unhöflich Tippfaul sein will.;"
Petersbacher :
„Eine Veränderung, die keine Verbesserung ist, ist eine Verschlechterung“. Zitat von Adolf Loos.

Für was soll dieses ""Schrift-Gendern"" denn gut sein.? Wem soll das dienen? Wenn Frauen etwas NICHT werden, dann liegt das nicht daran, dass man nicht oft genug Pilot*in gesagt hat. Das ist doch ziemlich daneben.

Eine Eigenheit der deutschen Sprache ist, dass der männliche Ausdruck für beide Geschlechter steht. Das kapiert man sofort und damit kommt man durchaus zurecht. Wer nicht, soll nen Sprachkurs machen.

Und dahinein jetzt irgendeine Wertung hineinzufantasieren - tut mir leid, das ist nicht meine Welt. Das ist auch niemandem anderen seine Welt, egal welchen Geschlechts.

Das ist ne Agenda und ne Lobbyarbeit von ein paar ganz wenigen, dei sich wichtig machen und maximal laut sind. Der Rest der Bevölker*innen gehen Arbeiten.
"
;kai_o_herrmann : Unter den 102 (sic!) ursprünglichen Unterzeichnern befindet sich exakt EINE aktive (weibliche) Professorin. Ansonsten: sehr viele Wissenschaftler im Ruhestand, Lehrerinnen und Lehrer, Studierende. Auch Wissenschaftler aus sehr fernliegend Disziplinen - und eben weit überwiegend Männer. Zwei Überlegungen dazu: (1) Wenn man hauptsächlich Männer fragt, ist es vielleicht auch kein Wunder, dass diese kein Problem mit dem generischen Maskulinum haben. (2) Selbstverständlich darf jede obskure Zusammenstellung von Personen eine Meinung haben und diese Meinung veröffentlichen. Wenn die RP darüber berichtet, wäre es aber gut, wenn sie auch schreiben würde, dass das nicht „die Wissenschaft“ ist, die da etwas fordert, sondern nur eine Gruppe von 100 mehr oder weniger zufälligen Personen. Ach ja, und ein Link zu dem Aufruf wäre vielleicht auch nicht schlecht, ich liefere ihn einmal nach:https://www.linguistik-vs-gendern.de (Dieser Kommentar war übrigens mild gegendert, und war das wirklich SO schlimm?);;;"-> Mantru_poteca: Mir gefällt ""Schülerinnen und Schüler"" überhaupt nicht (rot). Die Mädchen bitte auf die linke Seite, die Jungen nach rechts. Kommt als nächstes dann der getrennte Unterricht? (gelb)

Schreiben Sie dann auch ""Haupt- und Realschülerinnen und -schüler"" oder wie machen Sie das? Ich behaupte mal, das können überhaupt nur wenige Leute so richtig mit Ergänzungsstrichen schreiben (rot). Besonders gut lesbar ist das außerdem nicht (rot).";"-> Bläßhuhn: 

""Wenn Frauen etwas NICHT werden, dann liegt das nicht daran, dass man nicht oft genug Pilot*in gesagt hat. Das ist doch ziemlich daneben.""

Dazu schrieb ich neulich schon was: Ich hatte mir Mitte der 80er überlegt, ob ich vielleicht Pilot werden sollte, oder um genauer zu sein: Pilotin. Meine Eltern und meine Umgebung haben das gefördert, ich ging ab 15 zum Segelfliegen.
Tja, und dann fand ich raus, dass die Lufthansa keine Frauen in die Pilotenschule aufnahm, und die Luftwaffe ebenso nicht. (rot) Letzerer war es aufgrund einer Ausschließung von Frauen im Grundgesetz sogar gesetzlich verboten (erst 2000 durch den EuGH gekippt).

Solche instutionellen Diskriminierungen sind zu 99,9% gefallen (mag sein, dass es in esoterischen Winkeln der Gesetzgebung noch welche gibt). Heute müssen wir daran arbeiten, dass Mädchen die Möglichkeiten auch sehen und ergreifen. (rot) Und das wird nicht erreicht mit gegenderter Sprache, sondern das ist Arbeit in der Schlammzone, an Ausbildungstätten aller Art und in den Familien. (rot)
"
;More84: Ich empfehle ihnen folgendes Video zu dem Thema, das schon von Millionen geklickt wurde: https://www.youtube.com/watch?v=aZaBzeVbLnQ;"fitzliputz : Jein. Ich fände es zwar ganz okay, wenn man nach der Debatte wieder zu den Altbekannten und erprobten Formen zurückkehrt - aber die Debatte und das Ausprobieren anderer Formen ist wichtig, weil es im deutschsprachigen Raum immer noch ein ERKÄMPFEN von Räumen für Frauen und andere Marginalisierte ist, während es im angelsächsischen Raum bestenfalls um den Erhalt und Ausbau eines halbwegs erträglichen Status Quo geht. Die hatten halt auch schon früher und länger Madams Prime Minister - hier gibt es nur Merkel, das ist schnell verpufft. Nur zur Beispiel. Zudem ist es im englsichen eben kein ""generisches Maskulinum"" sondern einfach ein Wort - es ist immer schon üblich gewesen, nach einer Berufsbezeichnung, deren Zielmensch nicht klar war, ""he or she"" einzufügen. ""the Author is unknown, he or she may be broke too""  Im Deutschen ist das unüblich. Daher ist die Diskussion wichtig - eben DAMIT man als Frau (wie ich auch) mitgedacht wird. Derzeit ist das bei ""der Anwalt kommt gleich"" aber nicht der Fall. ";Alexandra B. : Super Artikel, danke!;-> EliasZZKPaGU7R: Für Geschlechterneutralität wuredn die generischen Formen extra eingeführt (gelb). Und das soll jetzt alles über den Haufen geworfen werden (rot), nur weil 1% der deutschen Bevölkerung das Genus und Sexus nicht auseinander halten kann, geschweige denn will (rot)?;"gelöschter Nutzer : Der Durchschnittsmensch schöpft einen wesentlichen Teil seiner Identität aus der Zugehörigkeit zum männlichen oder weiblichen Geschlecht. Unbestritten als Faktum ist auch: 1. Bei einer verschwindend geringen Minderheit der Menschen ist das anders, weil sie entweder physisch oder psychisch nicht eindeutig einem der beiden Geschlechtsmerkmale zuordenbar sind. 2. Frauen sind bis heute in vielen Bereichen unseres Lebens wegen ihres Geschlechts benachteiligt. So weit so schlecht. Dennoch will es sich mir einfach nicht erschließen, warum eine krampfhaft neutralisierte Sprache zur Lösung der beiden vorgenannten Probleme beitragen soll. Was ich aber sehe ist, dass die große Mehrheit der Menschen unter einem pseudo-intellektuellen Wahnsinn leidet, der so langsam in einen, man gestatte mir das Wort ""Sprach-Faschismus"" endet. Aus der Geschichte sollten wir doch langsam einmal gelernt haben, dass gelebter Fanatismus meist viel Unglück über die Menschen gebracht hat. Man denke nur an die politischen Führer die Anfangs des 20. Jahrhunderts dachten, sie könnten die Menschheit damit beglücken, dass alle gleich sind. Obwohl offensichtlich, dauerte es lange bis dieser Spuk vorüber war. Soll es mit unserer Sprache etwa auch so werden? Soll es vielleicht sogar eine Sprach-Polizei geben? Oder eine Sprach-Strafgesetzgebung? Lassen wir bitte von diesem UNSINN ab, aus unserer menschlichen Natur mit Mann und Frau künstlich neutrale Wesen zu basteln, die wir nie sein werden und auch nicht sein können!"
;-> Kalle: exakt EINE aktive (weibliche) Professorin. Im Gegensatz zu den unzähligen männlichen Professorinnen?!;"-> Samtripp: Und was bringt Ihnen das? Können Sie dann besser schlafen, wenn Sie sich endlich sicher sind, dass ihre Vagina in den Köpfen anderer Menschen eine Rolle spielt (rot)?

Es mag sein, dass Deutsche bei ""der Anwalt kommt gleich"" zuerst an einen Mann denken, ja, das würde ich wahrscheinlich auch. Aber wenn dann eine Frau durch die Tür käme, würde es mich jetzt auch nicht überraschen (rot). Und ehrlich gesagt ist es mir sowas von egal, ob da ein Mann oder eine Frau vor mir steht, denn wenn ich grade jemand ermordet habe (rot), dann will ich einen guten Anwalt haben und keinen, dem seine Vagina so wichtig ist, dass er sie sprachlich ständig hervorheben muss (gelb).";;GordonFreeman : Die Mehrheit will es nicht und trotzdem wird immer wieder als das non plus ultra verkauft. Man soll wohl weichgeklopf werden. Wir lange sich die Gesellschaft noch wehrt?;"Mielikki : 

Man muss halt auch mal bedenken dass dieses grausige Asterisk, das Ärgersternchen, 0,01% der Bevölkerung inkludiert.
Das Binnen I 50%, es reicht völlig aus. Besser generische Femininum auf Die Person, statt der Mensch.

Die Person ist immerhin ein Individuum!
"
;offroader: Wir nähern uns in bedenklicher Weise den Zuständen von „1984“. Die Sprache wird dem Gusto einiger weniger Schreihälse angepasst, die Geschichte und alte Bücher der neuen Ideologie angepasst. Die Überwachung nimmt zu und das Denunziantentum wird gefördert. Wir sollten wachsam sein und diesen Tendenzen Einhalt gebieten.;"Sammy_aus_Charlottenburg : Ein wichtiger Artikel, der eine neue Sichtweise in dieses Thema bringt, dafür vielen Dank.

Was mich persönlich fassungslos macht, ist der erste Absatz. Eine andere Person zu unterbrechen, ihr sozusagen über den Mund zu fahren und vorzuschreiben, wie Sätze zu formulieren sind, geht überhaupt nicht! Da kann sich der Kollege in seinem missionarischen Eifer noch so sehr im Recht sehen - wer sich so verhält, ist im Unrecht. Punkt. Ein besonderes Geschmäckle bekommt das Ganze noch dadurch, dass es hier ein Mann war, der eine Frau - im Namen des Feminismus - zurechtgewiesen und korrigiert hat.

Ich denke, dass es bei dieser Thematik längst um etwas ganz anderes geht. Nämlich um Deutungshoheit und damit Dominanz.  Und letztlich sogar um das Festzementieren alter Strukturen. Wenn sich alle einig sind, dass man nur alles Durchgendern muss, damit endlich Gleichheit herrscht, können sich alle zurücklehnen und weiter ihr Leben leben. Wenn es dann nichts wird mit dem Vorstandsposten, liegt das ja an den patriarchalen Strukturen und ihrer Sprache. Sollte sich aber herausstellen, dass das Gendern gleichstellungsmäßig gar nichts bringt, gibt es keine Entschuldigung mehr. Wenn frau dann immer noch nicht im Vorstand landet, liegt es möglicherweise am selbst gewählten Lebensentwurf, nicht an irgendwelchen Strukturen. Da ist das Opfer-Sein schon sexier.";Hans P. : Danke für diesen Artikel der allen normalen Menschen aus dem Herz spricht. Man kann ja im normalen Leben diesen Sprachmanipulationen aus dem Weg gehen. Aber bei neueren Dokumentationen und Nachrichten in ARD/ZDF ist man diesen Phänomenen hilflos ausgeliefert außer man dreht ab. Ich frage mich wer mit diesem ganzen Unsinn angefangen hat und was in anderen Ländern üblich ist. Eines ist allerdings klar:  Sprache ist Macht und was hier stattfindet hat weniger mit Sprache zu tun sondern mit dem Versuch eine gesamte Gesellschaft geistig zu vergewaltigen. ;;
;;;;-> MaXLmustermann: Was dieser Gesellschaft fehlt, ist endlich mal etwas Empörung. Aufstehen gegen Sprachdiktatur. Überhaupt alles Dikatur. Oder? (rot);Lomse : Carsharing, Homeoffice, Pop-up-Radweg oder Shitstorm könnte man selbstverständlich mit deutschen Begriffen belegen: Autoteilen, Heimbüro, provisorischer Radweg, Scheißesturm. Sind wir Deutschen wirklich so unkreativ geworden?
;-> Winterwind : Das Gendern soll die Ausdrucksmöglichkeiten erweitern (gelb) , hat mit 1984 also nichts zu tun. (rot) Das trifft eher auf die Unterzeichner_Innen des Aufrufs zu (rot) . Wie in Orwells Neusprech wollen sie Ausdrucksmöglichkeiten aus der Sprache streichen (gelb) .Die Bezeichnung Altsprech wäre aber vielleicht angemessener (grün).;"Meerwind7 : Gab es Dialoge in Fernsehkrimis mit der Frage ""wer war die Mörderin oder der Mörder""?";F;HenryIX: Ohne den letzten Satz wäre Ihr Beitrag ja gerade noch akzeptabel.;
;;;"-> Christof S.: Mir ging es genau so. Die unbedarften bis hanebüchenen ""Argumente"" von Frau Gerster (z.B. brachte sie das generische Maskulinum mit einer Männerlastigkeit in der medizinischen Normung zusammen) wären leicht auseinanderzunehmen gewesen. Herr Patzelt aber schwurbelte vorwiegend herum und drückte sich vor der Konfrontation. Erst unterschreibt er eine Petition gegen den Unfug, dann windet er sich und weigert sich, den Unfug beim Namen zu nennen. Traurig! 
Leider ist es fast durchgehend zu beobachten, daß die Genderkritiker in solchen Sendungen ihrer Sache keinen besonderen Dienst erweisen und erstaunlich uninformiert wirken (rot). Das tut weh, wenn man um die eigentlichen, handfesten Argumente weiß (gelb). Gestern mußte ich dann zur Wahrung meines Wohlbefindens abschalten und dachte mir dabei: ""Wenn doch nur Frau Hümpel…""";DyZmQJNWUPKgTy3Ez9nZkT : Eigentlich finde ich Gendern sprachlich blöd. Aber die Aufregung, die man durch zwei kleine Pünktchen oder einen harmlosen Stern erzeugen kann, ist einfach göttlich! Ganz vorne mit dabei: Leute, die sich gegen eine angebliche Sprachdiktatur verwahren und in diesem Zuge anderen Leuten verbieten wollen, eine kleine Sprechpause zu machen, die so unter anderem auch in Wörtern wie Museum oder Spiegelei vorkommt. Und denen die Ironie dieser Kombination vollkommen entgeht. Realsatire kann doch richtig Spaß machen. In diesem Sinne: Allen Forist:innen ein schönes Wochenende!;Perguntas : Ich bin absolut für sprachsensibles Handeln, für partnerschaftliche Genderkorrektheit und interkulturelle Empathie, aber ich lasse mir ungern vorschreiben, wie ich zu sprechen, zu schreiben und zu denken habe. Wenn Posener die Artikel und Generi im Deutschen abschaffen will, soll er sich in eine Zeitmaschine setzen und ins 25. Jahrhundert beamen lassen. Da sind sie dann garantiert weg, falls es überhaupt noch so etwas wie ein Deutschland und Deutsch gibt. Im Übrigen gibt es Wichtigeres als gendergerecht zu sprechen: Wie wäre es zum Beispiel mit gleicher Bezahlung für die gleiche Arbeit? Oder gendergerechtem und respektvollen Handeln in der Gesellschaft, wo Frauen noch oft misshandelt, vergewaltigt und wie Waren behandelt werden?
;"Uwe40217 : Dieder Aufruf ist mehr als gerechtfertigt. Besonders gefällt mir die Bewertung des Genderns mit der Bemerkung ""...Mit Blick auf das angestrebte Ziel der Geschlechtergerechtigkeit sei es also dysfunktional..."". Das meint wohl kurz gesagt: das Gendern gehört in die Mülltonne sprachlicher Entgleisungen.";"MoiraGustafsson :  ich bin nicht einverstanden. es ist ja so, dass ein generisches maskulinum eben so dehnbar ist, dass
wir uns einen schwulen Schwarzen Mann im Rollstuhl
vorstellen können, eine Frau, oder gar eine lesbische, jüdische
Frau, eher nicht. darum ist es wichtig, zu
gendern. weil schwule Männer eher mitgemeint sind, als
 heterosexuelle (!) Frauen (um im bild dessen, was als norm wahrgenommen wird, zu bleiben) - und besser bezahlt. und der
vergleich mit großbritannien hinkt: die englische sprache kennt
keine weibliche form, das generische femininum verträgt hier
keine endung à la autor-in. das englische woman author ist eine
behelfsform. kein mensch kann mir erzählen, dass authoress
wirklich benutzt wird. (im gegensatz zu actress, okay, oder alte
formen wie mistress). und das englische ist im übrigen
auch androgendernd, denn niemand sieht sich in der pflicht, mit
male authour deutlich zu machen, dass es sich um einen mann
handelt, das ist eben nur bei tradiert weiblichen berufen der
fall. insofern ist der kommentar vom britischen professor
sexistisch. die verbesserung des schriftstellerkollegen im
übrigen auch, aber deswegen ist das ganze konzept des genderns nicht gleich obsolet, schließlich werden mit der *-form auch nicht-binäre identitäten kenntlich, also ""sicht""bar und ""hör""bar, gemacht...
und der vergleich mit der bundeskanzlerin hinkt. auch, wenn sie
seit einem jahrzehnt in diesem amt ist, ist bundeskanzler eine
männliche form und damit patriarchal, weil sie das männliche zur
norm erhebt. nur weil kinder oder jugendliche bewusst noch
keinen männlichen bundeskanzler kannten, heißt das nicht, dass
sie das wort allein qua seiner endung nicht als männlich
assoziert wahrnehmen, und damit die frau an der spitze im
kanzler*innenamt nicht als ausnahme. ";"D.logenes : Habe heute Mittag einen ""Dönenden"" gegessen.…";;
;;"-> jjano:     es ist ja so, dass ein generisches maskulinum eben so dehnbar ist, dass
    wir uns einen schwulen Schwarzen Mann im Rollstuhl
    vorstellen können, eine Frau, oder gar eine lesbische, jüdische
    Frau, eher nicht

Genau das ist das Problem, das im Artikel angesprochen wird. Das muss sich ändern. Das Gendern allerdings verhindert, dass sich das ändert (rot).

    vergleich mit großbritannien hinkt: die englische sprache kennt
    keine weibliche form, das generische femininum verträgt hier
    keine endung à la autor-in. 

Sorry, das ist einfach falsch. Natürlich gibt es im Englischen das Wort ""authoress"": https://www.dict.cc/?s=authoress (rot)
Allerdings gilt die Unterscheidung zwischen author und authoress inzwischen als veraltet. Stattdessen wird empfohlen, geschlechtsunabhängig die früher männliche Form einzusetzen. Aus Gründen, die im Artikel stehen.

    ﻿und der vergleich mit der bundeskanzlerin hinkt. auch, wenn sie
    seit einem jahrzehnt in diesem amt ist, ist bundeskanzler eine
    männliche form und damit patriarchal, weil sie das männliche zur
    norm erhebt. nur weil kinder oder jugendliche bewusst noch
    keinen männlichen bundeskanzler kannten, heißt das nicht, dass
    sie das wort allein qua seiner endung nicht als männlich
    assoziert wahrnehmen, und damit die frau an der spitze im
    kanzler*innenamt nicht als ausnahme. 

Auch das steht genau so im Artikel. Allerdings nutzt der Artikel den den Konjunktiv, um auf eine hypothetische Möglichkeit hinzudeuten: Wenn die Medienöffentlichkeit Angela Merkel all die Zeit als ""Bundeskanzler"" bezeichnet hätte, hätte das sehr wohl dazu geführt, dass Kinder und Jugendliche das Wort als geschlechtsneutral wahrnehmen würden (rot). Denkst du, Wortbedeutungen seien gottgegeben? Sie entstehen natürlich aus dem Sprachgebrauch. Und wenn der durch das Gendern zunehmend impliziert, das Wort ""Bürger"" würde nur Männer meinen, gilt auch irgendwann das Grundgesetz in der Wahrnehmung der Menschen nur noch für Männer (gelb).";;-> DerAndereBarde: Museum enthält bei Muttersprachlern einen Hiatus, keinen Glottisschlag. Spiegel und Ei sind Wörter, Ärzt und Innen nicht (rot/gelb). Ähnlich schluderig ist die ganze Argumentation der Befürworter(rot).;"Jan X. Kowalski : 

Wenn schon, denn schon... In einem Abwasch noch:

a) Die bestimmten Artikel der, die, das paritätisch zu je 1/3 neu zuteilen;
b) Unliebsame Substantive kleinschreiben;
c) Alle Fluchwörter gleichgeschaltet nur als * aufführen;
d) Das Wort ""verschlimmbessern"" ersatzlos streichen.
"
;MikeyM : Nun ja, trotz ARD: Immerhin hat die Frauschaft der Deutschinnen gestern Abend nicht gewonnen .. ;"Hane : Der wievielte Bundeskanzler ist Dr. Merkel?

    ﻿Im Grunde gibt es nur ein einzig wirklich gutes Argument gegen das Gendern: Es ist leider sexistisch.

Das für mich entscheidende Argument ist, dass wir eine generische Form brauchen. Immer, wenn wir eine Teil ins Verhältnis zur Gesamtheit setzen möchten, brauchen wir sie. Und immer, wenn wir gendern, geht das Verständnis für die generische Form ein Stückchen verloren.

Der Grundfehler des Sprachfeminismus ist es ja, einen Zusammenhang zwischen grammatikalischem und biologischem Geschlecht zu sehen. Grammatikalisch besteht zwischen Schriftsteller und Lichtschalter kein Unterschied. Wie kommt man auf die Idee, dass bei einem nur die Funktion benannt wird, beim anderen auch das biologische Geschlecht?

Wir sollten die irrtümlich angenommen Zusammenhang zwischen den grammatikalischen und biologischen Geschlechtern begegnen, indem wir sie unterschiedlich benennen.";Kerstin M. : Bleiben Sie bei sich! Melden Sie aktiv Widerstand an! Machen Sie es schlicht nicht mit! Einfach weiterhin viele viele Texte veröffentlichen, die frei von diesem linguistischen Blödsinn geschrieben sind! - Ich tue das konsequent und auch bewusst.;"Isi : Wer genau bestimmt, wie gesprochen und geschrieben wird?
...und was wird an den Schulen gelehrt ?";
;Winterwind: Sie freuen sich über seltsame Dinge.;;;-> 100tausend : Eine kleine Minderheit möchte dies unautorisiert für alle bestimmen (rot). Nach dem Motto: Wir sind ja schließlich die Guten.;"vorderwäldler : Das Deutsche ist eine viel zu schöne Sprache,um sie den Sprachpuristen zu überlassen.
Sprache hat immer was mit Bewegung ,Elastizität, Veränderung und Spieltrieb zu tun,und es schadet ihr am meisten,wenn man sie in Stein meisseln möchte.
Luther hat so viele deutsche Worte erschaffen,seither ist die Sprache eine Spielwiese.
Aber gendern ist streng verboten? Gehts noch?"
;"RP-READER-KR : Ich bin kein Freund des Genderns, weil es meiner Ansicht nach die gewohnte Flüssigkeit des Sprechens und Lesens nachteilig beeinflußt. Aus ideologischen Gründen dagegen zu wettern, halte ich aber für verfehlt. Es droht nicht der Untergang der deutschen Kultur, wenn wer die Sterneritis und Stricheritis auf sein Panier stickt, um zu ""beweisen"", daß er die Diversität der Geschlechter begriffen und deren Gleiberechtigung verinnerlicht hat. ";"liliancarla : identifiziert sich Nele Pollatschek dann auch nicht mit ""ihr""/""sie""? Gendern bietet doch genau die Möglichkeit  nicht zwei Genderidentitäten zu reduzieren. Es existieren auch Menschen, die nicht (genau) in dieses Zweigeschlechtermodell passen. Deshalb wird ja ""_"", "":"", ""·"" und ""*"" verwendet und
gesprochen wird eine kurze Pause, um alle die sich nicht mit ihrem
anatomischen Geschlecht identifizieren in die Sprache einzubeziehen.
Also eigentlich doch die perfekte Sprache, wenn Nele Pollatschek sich wünscht, dass ihr anatomisches Geschlecht kein Thema ist.";"Frank M. : Liebe Frau Hümpel,
Sie fragen, was noch kommen könnte und sprechen die Blau- und Rosatöne an, die in neuen Designs neutral gestaltet werden könnten.
Die Realsatire des Gender-Gaga hat Sie hier schon überholt:
Die Stadtverwaltung Erfurt schafft die blauen und rosafarbenen Puffbohne-Kuscheltiere für Neugeborene ab, die sie bisher auf den Entbindungsstationen kostenlos verteilt hat.
Über das neue Farbdesign, das ja jetzt gender-neutral sein soll, ist man noch in der Diskussion.
Hat was von Absurdistan.";"-> 8g32NBdKjZwrZMKXmMtoe6: In Frankreich gibt es eine Akademie, die bestimmt, was genau ""Französisch"" ist. In Deutschland kann das jeder so machen wie er will.
Möglichkeiten dagegen wären:
ironisches Überspitzen, sehr geehre Beamtinnen und Beamte und Beamteerale
absichtliches falsch verstehn. Ich bin kein Bürger innen, sonder ich bin außen, also bin ich nicht angesprochen.
besonders das Partizip missverstehen (rot) : in der Urkunde wurden Studierende angesprochen: weil ich viel lese, bin ich auch ein Studierender, ohne Student zu sein, also gelten Privilegien aus dieser Urkunde auch für mich (gelb).";"Ol’Nick : YMMD :) Ich werde mir das als köstliches Exempel für ""Haltet den Dieb!"" einrahmen."
;;"-> jjano: ""Sich mit einem Pronomen identifizieren"" funktioniert im deutschen nicht (rot). Pronomen haben im deutschen nichts mit dem Geschlecht eines Menschen zu tun, sondern mit dem Genus des Nomens, das ersetzt wird (gelb).

Ich habe noch nie von einem Mann gehört, dem der Penis abgefallen ist, weil er als Fachkraft einbestellt wurde. Trotzdem ist sein Pronomen als Fachkraft ""sie"". Ein Mädchen muss sich nicht mit dem Pronomen ""es"" identifizieren, trotzdem ist sein Pronomen in jedem Fall ""es"" (grün).

Nele Polatschek wünsch sich, dass ihr Geschlecht Privatsache ist. Das gleiche wünschen sich übrigens insbesondere viele nicht-binäre, und dazu haben sie auch das Recht (rot). Dazu gehört es eben auch, dass sie mit dem gleichen Bezeichnungen angeredet werden wie alle anderen, und dass man nicht, weil man nicht-binär ist, nicht über einen Asterisk, Doppelpunkt oder Unterstrich also solcher gebrandmarkt wird (gelb).";;Kommentar gelöscht;"fooke : An den Autor, bitte lesen und verstehen:
https://www.daad.org/files/2…"
;"-> Rp-oskar : ""... daß er die Diversität der Geschlechter begriffen und deren Gleiberechtigung verinnerlicht hat."" es gibt nur zwei Geschlechter. Alles andere ist Balla-balla (rot).";"Kwanna : Die Argumentation mit dem Englischen ist verführerisch, krankt aber an einem wesentlichen logischen Haken, der hier (bewusst?) ausgeklammert wurde: dem BESTIMMTEN ARTIKEL.

Das ist im Englischen neutral immmer ein ""the"", im Deutschen ist es ""der, die, das"".

Und wie würden wir dann auf deutsch verfahren wollen?
""Die Kanzler Merkel"", ""der Krankenschwester Michael""?

Schade, es hätte mich eigentlich überzeugt, das Englische. Aber es lässt sich zunächst mal nicht eins zu eins ins Deutsche übertragen.";"Frank M. : Die Gender-Befürworter haben diese ""logischen"" Zusammenhänge in ihrer Argumentation:
„Mit der Geschlechtsoption „divers“ ist ein “drittes Geschlecht“ offiziell anerkannt…Dem muss sich nun auch die Sprache anpassen“
Worüber sprechen diese Leute da eigentlich?
Es haben sich bis jetzt ca. 400 Menschen als divers eintragen lassen. Das sind 0,0005% der gesamten Bevölkerung.
Dafür wird nun der gesamte deutschsprachige Raum gegendert - absurd.
Womöglich hat von diesen 400 kein einziger Lust, sich im Sternchen wiederfinden zu müssen.
Hauptsache wir haben den Minderheiten Genüge getan, ob sie wollen oder nicht!";MaXLmustermann : Entschuldigung, ich glaube, Sie haben da etwas missverstanden.;
;;"-> silent: Sprache ist wandelbar. Das ist ja die ganze Idee hinter diesen Diskussionen: Wie ändert man die Sprache um inklusiver zu sein (rot).

Für den Vorschlag aus diesem Artikel könnte man zum Beispiel sagen ""Der Kanzler Merkel"" oder ""der Krankenpfleger Anna"" (gelb). Es ist so lange falsch bis man es ändert (rot).

Vielleicht gibt es ja auch noch andere Ansätze in diese Richtung :)";Veit G.: Meines Wissens ist in dem Urteil des BVG von 2017 nirgendwo von einem „dritten Geschlecht“ die Rede, sondern nur von „Varianten“ gegenüber einer männlichen oder weiblichen Geschlechtsentwicklung.;Kommentar gelöscht;"Max Michael : Ich muss bei diesen ideologisch aufgeladenen Genderdiskussionen immer an die vielen Studentinnen denken, die ich mit meinen (vor allem den kleineren) Lehrveranstaltungen auf Ihrem akademischen Weg ein Stück begleiten durfte.
Geistig hellwach, selbstbewusst, oft mit dem Willen beseelt, die Welt ein Stück aus den Angeln zu heben, schlicht und einfach Persönlichkeiten, welche schon jetzt ahnen lassen, wie sehr sie die Dinge ganz selbstverständlich verändern werden.
Die Intention der „Gendersprache“ ist edel und gut. Jedoch, so glaube ich, verkennt diese, dass jene jungen Frauen es fast als beleidigend empfinden, wenn versucht wird, sie mittels mehr oder weniger verordneter Sprache in den Status einer schützenswerten unterdrückten Minderheit zu setzen.
Ich bin mir sicher: Diese vielen jungen Frauen werden die Gesellschaft samt ihres Denkens und ihrer Wirklichkeit umfassend verändern. Wir denken in Sprache. Und diese Sprache wird sich ändern - in genau dem Sinne, der den Befürwortern der heutigen gendergerechten Konstruktionen so am Herzen liegt. Das Ganze wird wohl ohne Sternchen oder Binnen-I auskommen, ganz sicher aber wird es ohne ein wie auch immer geartetes Diktat stattfinden."
;Hallo : Die „sogenannte gendergerechte Sprache“ sei ideologisch motiviert, Stimmt! Es ist halt eine Ideologie und auch eine Höflichkeit, Frauen, wenn man sie meint, auch anzusprechen. ;"einliberaler : Nachsatz: Auch schön finde ich, dass z.B. in TV- Berichten zu den Corona- Demos vom Wochenende natürlich von Polizistinnen und Polizisten, aber dann eben nur von Reichsbürgern gesprochen wird. Dies und viele andere ähnlich gelagerte Sprechblasen legen nahe, dass natürlich nur positiv konnotierte Berufe, Tätigkeiten etc. gegendert werden, die negativ konnotierten jedoch selbstverständlich im generischen Maskulinum bleiben. Oder hat jemand in der Kriminalstatistik schon mal von ""Mörderinnen und Mördern"" gehört?";;"-> MaXLmustermann: Krankheitserreger ist kein generisches Maskulinum (rot), weil es bei Krankheitserregern kein Maskulinum / Femininum gibt. (gelb)

Aber wenn man von den ""Gründern"" spricht, oder von den ""Vätern des Grundgesetzes"", wird vergessen, dass mittlerweile auch Frauen beteiligt sind (rot). Die GLeichberechtigung war 1948-49 übrigens kein Selbstläufer (rot). Elisabeth Selbert hat als eine der Mütter des Grundgesetzes ähnlich dafür gekämpft wie die wenigen ""Gendernden"", die heute am liebsten mundtot gemacht werden von manchen (gelb). Oft Männer, die Angst vor Machtverlust haben, und sehr unsicher sind in ihrer gesellschaftlichen Rolle und Bedeutung (rot).";"-> fooke. Bis auf einen Satz stimme ich Ihnen voll und ganz zu, nur:
""Die Intention der „Gendersprache“ ist edel und gut."" habe ich inzwischen als das erkannt, was es ist: ein Versuch, sich unangreifbar zu machen (rot). Die Intention so mancher Ideologie war vielleicht in ihren Anfängen mal edel und gut, oft genug ist daraus dann eine brutale Diktatur geworden (rot(gelb)."
